name,system,lines,colour,kommun,lat,lon
Saltsjö-Duvnäs,Saltsjöbanan,25,saltsjo,Nacka,59.300522,18.19901
Saltsjö-Järla,Saltsjöbanan,25,saltsjo,Nacka,59.306919,18.150281
Saltsjöbaden,Saltsjöbanan,25,saltsjo,Nacka,59.27904,18.312288
Sandsborg,Tunnelbana,18,green,Stockholm,59.285689,18.091981
Sankt Eriksplan,Tunnelbana,17/18/19,green,Stockholm,59.340539,18.037223
Segersäng,Pendeltåg,43,pendel,Nynäshamn,59.028908,17.926748
Sickla,Tram + Saltsjöbanan,30/25,orange/saltsjo,Nacka,59.306855,18.120768
Sickla kaj,Tram,30,orange,Stockholm,59.302626,18.103391
Sickla udde,Tram,30,orange,Stockholm,59.30629,18.108543
Skansen,Tram,7,city,Stockholm,59.323785,18.10137
Skanstull,Tunnelbana,17/18/19,green,Stockholm,59.308699,18.075958
Skarpnäck,Tunnelbana,17,green,Stockholm,59.266406,18.132987
Skogskyrkogården,Tunnelbana,18,green,Stockholm,59.278693,18.095398
Skogås,Pendeltåg,43,pendel,Huddinge,59.219606,18.153356
Skärholmen,Tunnelbana,13,red,Stockholm,59.27692,17.906752
Skärmarbrink,Tunnelbana,17/18,green,Stockholm,59.295576,18.089902
Skärsätra,Tram,21,orange,Lidingö,59.343388,18.170259
Slussen,Tunnelbana,13/14/17/18/19,red/green,Stockholm,59.319317,18.0722
Smedslätten,Tram,12,nockeby,Stockholm,59.320836,17.964635
Sockenplan,Tunnelbana,19,green,Stockholm,59.282995,18.070283
Sollentuna,Pendeltåg,40/41,pendel,Sollentuna,59.428425,17.948584
Solna Business Park,Tram,30,orange,Solna,59.359663,17.979085
Solna centrum,Tunnelbana + Tram,11/30,blue/orange,Solna,59.359506,17.997825
Solna station,Pendeltåg + Tram,40/41/30,pendel/orange,Solna,59.363863,18.008508
Solna strand,Tunnelbana,10,blue,Solna,59.354464,17.973189
Solsidan,Saltsjöbanan,26,saltsjo,Nacka,59.27091,18.296122
Spånga,Pendeltåg,43,pendel,Stockholm,59.384106,17.89721
Stadion,Tunnelbana,14,red,Stockholm,59.342285,18.080447
Stadshagen,Tunnelbana,10/11,blue,Stockholm,59.33762,18.015877
Stockholms södra,Pendeltåg,40/41/43,pendel,Stockholm,59.313628,18.061811
Stocksund,Roslagsbanan,29,roslag,Danderyd,59.384997,18.043834
Stora Essingen,Tram,30,orange,Stockholm,59.324809,17.993094
Stora mossen,Tunnelbana,17/18/19,green,Stockholm,59.334555,17.966065
Storängen,Saltsjöbanan,25,saltsjo,Nacka,59.305577,18.178278
Stureby,Tunnelbana,19,green,Stockholm,59.274645,18.055816
